kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mstream.1.sm_52.ptx 107 : 500000 4614688 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 106 : 500000 335277824 1600000 0 0 62500 15625 0 0 
mstream.1.sm_52.ptx 105 : 500000 353292224 1600000 0 0 62500 15625 0 0 
mstream.1.sm_52.ptx 104 : 500000 4834816 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 103 : 500000 3231776 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 102 : 500000 4789664 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 101 : 500000 4643584 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 100 : 500000 3182208 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 98 : 500032 160 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 97 : 500032 3250208 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 96 : 500032 5263264 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 95 : 500032 2712192 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 94 : 500032 2735104 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 60 : 100000 727904 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 89 : 500032 4045248 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 58 : 500032 2990912 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 57 : 500032 3710816 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 56 : 500032 5805312 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 55 : 500032 3416768 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 113 : 500032 2649696 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 54 : 500032 3426240 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 53 : 500032 5294080 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 52 : 500032 6519648 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 110 : 500000 5108800 0 0 0 62500 15625 0 0 
mstream.1.sm_52.ptx 51 : 500032 6260320 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 22 : 1 5 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 109 : 500000 4600384 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 50 : 500032 5932384 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 108 : 500000 3034144 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 49 : 500032 5571584 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 62 : 100000 1153152 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 91 : 500032 5013728 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 61 : 100000 1028992 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 90 : 500032 4540864 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 63 : 100000 784128 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 33 : 1 5 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 92 : 500032 5431776 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 64 : 100000 1081152 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 93 : 500032 3637824 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 65 : 100000 31334208 0 0 0 12500 3125 0 0 
mstream.1.sm_52.ptx 66 : 100000 44932064 400000 0 0 12500 3125 0 0 
mstream.1.sm_52.ptx 67 : 100000 941152 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 68 : 100000 618176 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 69 : 100000 939616 0 0 0 0 0 0 0 
mstream.1.sm_52.ptx 70 : 100000 986272 0 0 0 12500 3125 0 0 
mstream.1.sm_52.ptx 73 : 500032 3374304 0 0 0 0 0 0 0 
